name,domain,split,bm25.b,bm25.k_1,map,recip_rank,ndcg,recall_1,recall_5,recall_10,recall_50,recall_100,recall_250,recall_500,recall_1000
BM25-passage,book,val,0.45,0.3,0.06527002743542354,0.06527002743542354,0.11667486577522977,0.04,0.09,0.12,0.18,0.2,0.24,0.33,0.42
BM25-passage,book,test,0.45,0.3,0.030933700543145627,0.030933700543145627,0.08528053975110847,0.01,0.06,0.09,0.11,0.16,0.21,0.31,0.42
BM25-passage,movie,val,0.6,1.6,0.021581454069989382,0.021581454069989382,0.06967258194576642,0.01,0.03,0.03,0.12,0.14,0.22,0.32,0.37
BM25-passage,movie,test,0.6,1.6,0.022953936911934675,0.022953936911934675,0.05369274187453517,0.02,0.02,0.02,0.05,0.07,0.14,0.21,0.26
BM25-passage,music,val,0.0,2.0,0.0020726200296708806,0.0020726200296708806,0.01261622410881978,0.0,0.0,0.01,0.01,0.03,0.04,0.06,0.08
BM25-passage,music,test,0.0,2.0,0.010339206476157855,0.010339206476157855,0.021047607410535404,0.01,0.01,0.01,0.01,0.01,0.04,0.09,0.1
BM25-passage,game,val,0.3,0.6,0.08566185726086734,0.08566185726086734,0.1456966800592075,0.06,0.1,0.11,0.16,0.2,0.3,0.43,0.53
BM25-passage,game,test,0.3,0.6,0.05010848384701279,0.05010848384701279,0.12330584039697769,0.03,0.07,0.09,0.21,0.23,0.32,0.4,0.57
